Sim time (min), Sim time (max), Sim time (ave), Cnv time (min), Cnv time (max), Cnv time (ave), Vis time (min), Vis time (max), Vis time (ave)
0.376304, 0.376364, 0.376332, 0.04352, 0.043586, 0.0435629, 7e-06, 7e-06, 7e-06
0.375526, 0.375573, 0.375546, 0.043392, 0.043437, 0.043415, 7e-06, 8e-06, 7.375e-06
0.376214, 0.376271, 0.376241, 0.04354, 0.043583, 0.0435641, 7e-06, 9e-06, 8.25e-06
0.376739, 0.376796, 0.376767, 0.043637, 0.043677, 0.0436606, 6e-06, 7e-06, 6.75e-06
0.376057, 0.376138, 0.376092, 0.043646, 0.043712, 0.0436849, 6e-06, 7e-06, 6.75e-06
0.375524, 0.375572, 0.375545, 0.043593, 0.043632, 0.0436148, 6e-06, 7e-06, 6.75e-06
0.376538, 0.376597, 0.376564, 0.043676, 0.043742, 0.0437174, 6e-06, 8e-06, 7.375e-06
0.375969, 0.376043, 0.376008, 0.043533, 0.0436, 0.0435752, 6e-06, 8e-06, 6.875e-06
0.376793, 0.376844, 0.376817, 0.043651, 0.043691, 0.0436736, 6e-06, 7e-06, 6.625e-06
0.376361, 0.376422, 0.37639, 0.043544, 0.043611, 0.0435852, 6e-06, 8e-06, 6.75e-06
0.375368, 0.375418, 0.375392, 0.043577, 0.043618, 0.0436, 6e-06, 8e-06, 7e-06
0.376088, 0.376141, 0.376116, 0.043358, 0.043408, 0.0433761, 7e-06, 8e-06, 7.5e-06
0.375307, 0.375398, 0.375343, 0.043577, 0.043658, 0.0436256, 7e-06, 8e-06, 7.625e-06
0.376239, 0.37629, 0.376264, 0.043443, 0.043483, 0.0434645, 7e-06, 8e-06, 7.5e-06
0.386077, 0.38613, 0.386098, 0.043798, 0.043843, 0.0438229, 7e-06, 8e-06, 7.125e-06
0.375532, 0.375596, 0.375561, 0.043801, 0.043855, 0.0438311, 7e-06, 8e-06, 7.25e-06
0.375493, 0.375536, 0.375515, 0.043838, 0.043879, 0.0438559, 7e-06, 7e-06, 7e-06
0.375692, 0.375756, 0.375722, 0.043597, 0.043651, 0.043626, 7e-06, 9e-06, 8e-06
0.375788, 0.375832, 0.375805, 0.043863, 0.043904, 0.0438853, 6e-06, 8e-06, 6.875e-06
0.375557, 0.375608, 0.37558, 0.043686, 0.043724, 0.0437091, 7e-06, 8e-06, 7.5e-06
0.375725, 0.375782, 0.375752, 0.04381, 0.043856, 0.0438354, 7e-06, 8e-06, 7.125e-06
0.378166, 0.378412, 0.378285, 0.044575, 0.044801, 0.044698, 7e-06, 1.6e-05, 9.125e-06
0.38015, 0.380215, 0.380182, 0.043497, 0.043548, 0.0435258, 6e-06, 8e-06, 7.5e-06
0.375503, 0.375556, 0.375528, 0.043589, 0.043628, 0.0436129, 6e-06, 7e-06, 6.625e-06
0.375114, 0.375171, 0.375143, 0.043816, 0.043854, 0.0438403, 6e-06, 7e-06, 6.75e-06
0.376236, 0.376319, 0.37627, 0.04355, 0.04362, 0.043595, 6e-06, 7e-06, 6.875e-06
0.37559, 0.375634, 0.375607, 0.043401, 0.043445, 0.0434255, 6e-06, 8e-06, 7e-06
0.375107, 0.375191, 0.375142, 0.043719, 0.04379, 0.0437645, 7e-06, 8e-06, 7.875e-06
0.375853, 0.375897, 0.375872, 0.043512, 0.043552, 0.043532, 7e-06, 8e-06, 7.375e-06
0.375295, 0.375364, 0.375328, 0.043872, 0.043929, 0.0439054, 6e-06, 8e-06, 7.125e-06
0.376319, 0.376382, 0.376347, 0.043461, 0.043515, 0.043491, 7e-06, 8e-06, 7.375e-06
0.37541, 0.375457, 0.375432, 0.043576, 0.043618, 0.0435966, 7e-06, 8e-06, 7.875e-06
0.375167, 0.375234, 0.375201, 0.043416, 0.043469, 0.0434448, 7e-06, 8e-06, 7.75e-06
0.375524, 0.375592, 0.375558, 0.043685, 0.043736, 0.0437149, 6e-06, 8e-06, 7.125e-06
0.375067, 0.375138, 0.3751, 0.043395, 0.043448, 0.0434273, 7e-06, 8e-06, 7.125e-06
0.376246, 0.37631, 0.376275, 0.043487, 0.043553, 0.0435301, 6e-06, 8e-06, 7e-06
0.376069, 0.376155, 0.376106, 0.043527, 0.043597, 0.0435716, 6e-06, 7e-06, 6.75e-06
